Date,Open,High,Low,Close,Volume
2022-01-03,103.57810469193534,104.61388573885469,102.54232364501598,103.57810469193534,314095
2022-01-04,104.45884424871115,105.50343269119826,103.41425580622403,104.45884424871115,429675
2022-01-05,106.55583044367548,107.62138874811222,105.49027213923873,106.55583044367548,108568
2022-01-06,111.38471307442724,112.49856020517151,110.27086594368296,111.38471307442724,946228
2022-01-07,115.60075364861862,116.7567611851048,114.44474611213244,115.60075364861862,335117
2022-01-10,113.39907283668617,114.53306356505304,112.2650821083193,113.39907283668617,275548
2022-01-11,115.61055528631006,116.76666083917316,114.45444973344696,115.61055528631006,829909
2022-01-12,115.31839074599554,116.4715746534555,114.16520683853558,115.31839074599554,469528
2022-01-13,115.1379893036989,116.28936919673589,113.98660941066191,115.1379893036989,826453
2022-01-14,116.14106801683666,117.30247869700503,114.97965733666828,116.14106801683666,797626
2022-01-17,116.53372603475674,117.69906329510431,115.36838877440917,116.53372603475674,863387
2022-01-18,119.98143110657469,121.18124541764044,118.78161679550894,119.98143110657469,437785
2022-01-19,121.86762972991254,123.08630602721166,120.64895343261341,121.86762972991254,897071
2022-01-20,122.22512846192406,123.4473797465433,121.00287717730481,122.22512846192406,770882
2022-01-21,123.37126583899172,124.60497849738164,122.1375531806018,123.37126583899172,438681
2022-01-24,124.25626795483396,125.4988306343823,123.01370527528562,124.25626795483396,480214
2022-01-25,128.031369882011,129.31168358083113,126.7510561831909,128.031369882011,104709
2022-01-26,127.57005169590101,128.84575221286002,126.29435117894201,127.57005169590101,644587
2022-01-27,128.4325979794274,129.7169239592217,127.14827199963314,128.4325979794274,140338
2022-01-28,126.30293958398352,127.56596897982335,125.03991018814368,126.30293958398352,885308
2022-01-31,119.91708868441916,121.11625957126334,118.71791779757497,119.91708868441916,482770
2022-02-01,121.5446480102655,122.76009449036816,120.32920153016285,121.5446480102655,635177
2022-02-02,123.70677220462485,124.9438399266711,122.4697044825786,123.70677220462485,826207
2022-02-03,121.93240880837395,123.15173289645769,120.71308472029021,121.93240880837395,70140
2022-02-04,127.52850798691323,128.80379306678236,126.25322290704409,127.52850798691323,69816
2022-02-07,123.88281054992744,125.12163865542672,122.64398244442816,123.88281054992744,661522
2022-02-08,124.05812582980043,125.29870708809844,122.81754457150242,124.05812582980043,694746
2022-02-09,123.6557213403191,124.89227855372229,122.41916412691592,123.6557213403191,377860
2022-02-10,127.50828758912812,128.7833704650194,126.23320471323683,127.50828758912812,297346
2022-02-11,131.31915014500373,132.63234164645377,130.0059586435537,131.31915014500373,757567
2022-02-14,131.79176100526973,133.10967861532242,130.47384339521705,131.79176100526973,299164
2022-02-15,132.85443097386354,134.1829752836022,131.5258866641249,132.85443097386354,138520
2022-02-16,130.5619327827884,131.8675521106163,129.25631345496052,130.5619327827884,48042
2022-02-17,125.45488144236707,126.70943025679074,124.2003326279434,125.45488144236707,27214
2022-02-18,124.64466333416682,125.89110996750848,123.39821670082516,124.64466333416682,26353
2022-02-21,125.09674695816608,126.34771442774775,123.84577948858441,125.09674695816608,139498
2022-02-22,128.23740257108486,129.5197765967957,126.955028545374,128.23740257108486,799068
2022-02-23,131.38532264660896,132.69917587307503,130.07146942014288,131.38532264660896,655188
2022-02-24,130.4332341304357,131.73756647174005,129.12890178913133,130.4332341304357,490193
2022-02-25,129.70984423861958,131.00694268100577,128.4127457962334,129.70984423861958,767809
2022-02-28,127.05454632524298,128.3250917884954,125.78400086199055,127.05454632524298,223069
2022-03-01,123.50967890276596,124.74477569179362,122.27458211373829,123.50967890276596,525900
2022-03-02,119.35661607490822,120.5501822356573,118.16304991415913,119.35661607490822,726082
2022-03-03,124.07305338088683,125.3137839146957,122.83232284707796,124.07305338088683,92204
2022-03-04,122.87040786053412,124.09911193913946,121.64170378192877,122.87040786053412,58961
2022-03-07,121.85531570222068,123.07386885924289,120.63676254519847,121.85531570222068,43506
2022-03-08,118.86304787788858,120.05167835666747,117.67441739910969,118.86304787788858,349172
2022-03-09,120.77077686962441,121.97848463832065,119.56306910092817,120.77077686962441,711248
2022-03-10,116.93292832130344,118.10225760451647,115.7635990380904,116.93292832130344,175305
2022-03-11,116.49386790671782,117.658806585785,115.32892922765065,116.49386790671782,814477
2022-03-14,114.46578757477961,115.61044545052741,113.32112969903181,114.46578757477961,677007
2022-03-15,115.40876245120918,116.56285007572127,114.2546748266971,115.40876245120918,141192
2022-03-16,114.28743905682393,115.43031344739217,113.14456466625569,114.28743905682393,846178
2022-03-17,111.64595420052403,112.76241374252928,110.52949465851879,111.64595420052403,337794
2022-03-18,111.63884854213697,112.75523702755834,110.5224600567156,111.63884854213697,328779
2022-03-21,112.65103750280633,113.7775478778344,111.52452712777827,112.65103750280633,712897
2022-03-22,112.85722770382311,113.98579998086134,111.72865542678488,112.85722770382311,724250
2022-03-23,113.59637911441955,114.73234290556374,112.46041532327536,113.59637911441955,257344
2022-03-24,112.21204344328805,113.33416387772094,111.08992300885517,112.21204344328805,524474
2022-03-25,111.45407091548134,112.56861162463615,110.33953020632653,111.45407091548134,449276
2022-03-28,110.01082886225355,111.11093715087608,108.91072057363101,110.01082886225355,440006
2022-03-29,109.27473945026232,110.36748684476494,108.1819920557597,109.27473945026232,459396
2022-03-30,107.5522498578803,108.6277723564591,106.47672735930149,107.5522498578803,526896
2022-03-31,103.89271442738348,104.93164157165732,102.85378728310964,103.89271442738348,448762
2022-04-01,104.3133264551796,105.3564597197314,103.27019319062781,104.3133264551796,31105
2022-04-04,103.527260999164,104.56253360915564,102.49198838917236,103.527260999164,485248
2022-04-05,100.20362523472839,101.20566148707567,99.20158898238111,100.20362523472839,336399
2022-04-06,101.1811762413055,102.19298800371855,100.16936447889243,101.1811762413055,798930
2022-04-07,99.39573651522396,100.3896938803762,98.40177915007172,99.39573651522396,997987
2022-04-08,99.54869740095621,100.54418437496578,98.55321042694665,99.54869740095621,378116
2022-04-11,101.05007206469878,102.06057278534577,100.0395713440518,101.05007206469878,293504
2022-04-12,101.36127174927414,102.37488446676689,100.34765903178139,101.36127174927414,668282
2022-04-13,103.72177443349482,104.75899217782977,102.68455668915986,103.72177443349482,459435
2022-04-14,101.21206881664402,102.22418950481047,100.19994812847757,101.21206881664402,638100
2022-04-15,102.07711144854561,103.09788256303106,101.05634033406015,102.07711144854561,49851
2022-04-18,100.73008128478982,101.73738209763772,99.72278047194192,100.73008128478982,847125
2022-04-19,99.02613697303913,100.01639834276952,98.03587560330874,99.02613697303913,372510
2022-04-20,97.92922511773047,98.90851736890777,96.94993286655317,97.92922511773047,345064
2022-04-21,97.36798776919532,98.34166764688727,96.39430789150337,97.36798776919532,60530
2022-04-22,97.52604589018551,98.50130634908737,96.55078543128366,97.52604589018551,513707
2022-04-25,95.30215977630701,96.25518137407008,94.34913817854394,95.30215977630701,457582
2022-04-26,97.0668250520039,98.03749330252394,96.09615680148387,97.0668250520039,498371
2022-04-27,98.01936595594202,98.99955961550144,97.0391722963826,98.01936595594202,965451
2022-04-28,95.05674299726573,96.0073104272384,94.10617556729306,95.05674299726573,437665
2022-04-29,97.93363949477927,98.91297588972706,96.95430309983148,97.93363949477927,390062
2022-05-02,101.69603285627534,102.7129931848381,100.67907252771258,101.69603285627534,315259
2022-05-03,104.14442499268262,105.18586924260944,103.10298074275579,104.14442499268262,583818
2022-05-04,103.82173383382735,104.85995117216562,102.78351649548908,103.82173383382735,3098
2022-05-05,101.65029682729747,102.66679979557044,100.6337938590245,101.65029682729747,376026
2022-05-06,103.84482859636324,104.88327688232688,102.8063803103996,103.84482859636324,563022
2022-05-09,103.05939419161272,104.08998813352885,102.0288002496966,103.05939419161272,461820
2022-05-10,105.63061285643126,106.68691898499557,104.57430672786694,105.63061285643126,466579
2022-05-11,106.12343243439784,107.18466675874183,105.06219811005386,106.12343243439784,407134
2022-05-12,108.24937988663655,109.33187368550291,107.16688608777018,108.24937988663655,257128
2022-05-13,109.07503340671114,110.16578374077825,107.98428307264403,109.07503340671114,301516
